Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Kinloch,Missouri,US-MO,38.740636,-90.324899,1948,1940-1949,Yes,Yes,N/A,"Schuessler, R. (2014, May 5). One by one, Missouri's black towns disappear.; Cha-Jua, S. K. (2002). Americas first Black town: Brooklyn, Illinois, 1830-1915. Urbana: University of Illinois Press.; Wright, J. A. (2000). Kinloch: Missouri's First Black City (Images of America Series)","Documentary project about Kinloch's ""rise and demise"" called Kinloch Doc: http://thekinlochdoc.com/ ; trailer: https://www.youtube.com/watch?v=DAv2pd6ya4k",https://alivemag.com/the-kinloch-doc-shines-a-light-on-what-happened-to-missouris-first-black-city/
Meacham Park,Missouri,US-MO,38.568038,-90.391573,1892,1890-1899,No,No,N/A,"Speer, L. R., Jones, B., & Thies, G. (1988). Meacham Park: A History.",https://clarktrandall.wordpress.com/2016/04/07/the-making-of-suburban-ghettos-the-untold-story-of-meacham-park/,https://www.thekirkwoodcall.com/top-stories/2020/06/09/sectored-off-meacham-park/; https://websterjournal.com/2018/03/21/black-history-deeply-rooted-formation-meacham-park-kirkwood/
North Webster Groves,Missouri,US-MO,38.587778,-90.354444,1866,1860-1869,Yes,No,N/A,"Morris, A., Ambrose, H., & Nagel, J. W. (1993). North Webster: a photographic history of a Black community. Bloomington: Indiana Univ. Press.",https://websterjournal.com/2020/02/28/north-webster-residents-keep-black-history-alive-in-the-community/,https://dnr.mo.gov/shpo/survey/SLAS008-R.pdf
Pennytown,Missouri,US-MO,38.998136,-93.164432,1871,1870-1879,Yes,No,N/A,"Schuessler, R. (2014, May 5). One by one, Missouri's black towns disappear.",https://pennytownchurch.org/history/,
Pinhook,Missouri,US-MO,36.739225,-89.267693,1920s,1920-1929,Yes,No,N/A,"Schuessler, R. (2014, May 5). One by one, Missouri's black towns disappear.",,
DeWitty,Nebraska,US-NE,41.97944,-100.558606,1904,1900-1909,No,No,N/A,"Todd Guenther, “The Empire Builders, An African American Odyssey in Nebraska and Wyoming,”
Nebraska History 89 (2008): 176-200.  https://history.nebraska.gov/sites/history.nebraska.gov/files/doc/publications/NH2008Empire_Builders.pdf ","https://www.nps.gov/places/dewitty-nebraska.htm#:~:text=DeWitty%20grew%20to%20be%20the,1904%20with%20the%20Kinkaid%20Act.",
Overton,Nebraska,US-NE,40.73944,-99.53722,1880,1880-1889,Yes,No,N/A,"Friefeld, J. K., Eckstrom, M. B., & Edwards, R. (2019). African American Homesteader"" Colonies"" in the Settling of the Great Plains. Great Plains Quarterly, 39(1), 11-37.
; Edwards, R., Friefeld, J. K., & Eckstrom, M. B. (2019). "" Canaan on the Prairie"": New Evidence on the Number of African American Homesteaders in the Great Plains. Great Plains Quarterly, 39(3), 223-241.; Edwards, R. (2019). African Americans and the Southern Homestead Act. Great Plains Quarterly, 39(2), 103-129.
",http://www.nebraskastudies.org/1850-1874/african-american-settlers/,http://www.negenweb.net/NECherry/Negro.htm; https://omaha.com/lifestyles/carving-out-a-place-for-themselves-black-settlers-pursuit-of-dream-in-late-1800s-nebraska/article_4658f6ec-eddf-11e5-842f-df85a963c447.html
Coit Mountain,New Hampshire,US-NH,43.393531,-72.168186,1775,1770-1779,No,No,N/A,"Knoblock, G. A. (2015). African American Historic Burial Grounds and Gravesites of New England. McFarland, Incorporated.; Wheeler, E. (1879). The history of Newport, New Hampshire From 1766 to 1878.",https://www.soulofamerica.com/black-towns/new-hampshire/; https://www.businessnhmagazine.com/article/black-heritage-trail-of-nh-finds-permanent-home; https://blackheritagetrailnh.org/2019-lenten-program-day-11/,https://archive.org/stream/historyofnewport00whee/historyofnewport00whee_djvu.txt
Adat Beyt Mosheh,New Jersey,US-NJ,39.585704,-74.7178322,1960s,1960-1969,Yes,No,N/A,"Respes, A., & Adat Beyt Mosheh Congregation (Hammonton, N.J.). (1962). Colored Jews of Adat Beyt Mosheh Hebrew community. Hammonton, N.J: Adat Beyt Mosheh Congregation.; Dissertation: https://repository.upenn.edu/cgi/viewcontent.cgi?article=5332&context=edissertations",https://www.nytimes.com/1978/04/09/archives/new-jersey-weekly-black-jews-find-a-haven-in-state.html,https://blacktowns.org/index2.htm
Timbuctoo,New Jersey,US-NJ,40.0031656,-74.8315618,1825,1820-1829,Yes,No,N/A,"Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4",https://timbuctoonj.com/;   https://www.westamptonnj.gov/about/pages/timbuctoo-village,
Small Gloucester (Dutchtown),New Jersey,US-NJ,39.7647889,-75.297684,1834,1830-1839,No,No,N/A,"Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4""""""",https://www.nps.gov/nr/travel/underground/nj4.htm,https://www.nj.com/news/2011/02/black_history_month_long-forgo.html; https://newtownpress.com/2020/02/06/shameful-and-painful-parts-of-american-history-that-should-never-be-forgotten/
Cootstown,New Jersey,US-NJ,39.7526941,-75.3095985,1804,1800-1809,No,No,N/A,"Rizzo, D. (2008). Parallel Communities: The Underground Railroad in South Jersey. Arcadia Publishing.; Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4""""""",,
Saddlertown (Free Haven),New Jersey,US-NJ,39.9004522,-75.0579566,1842,1840-1849,No,No,N/A,https://patch.com/new-jersey/haddon/saddlertown-an-african-american-landmark-in-haddon-township,,
Gouldtown,New Jersey,US-NJ,39.4215244,-75.1916608,1690,1690-1699,No,No,N/A,"Wright, G. R. (1988). African Americans in New Jersey: A short history. https://nj.gov/state/historical/assets/pdf/topical/afro-americans-in-nj-short-history.pdf; Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4",https://www.blogtalkradio.com/thegistoffreedom/2012/01/29/gouldtown-nj-est-1600s-oldest-black-town-wendel-white; http://www.mixedracestudies.org/?tag=gouldtown,
Guineatown (New Guinea),New Jersey,US-NJ,39.5661521,-75.479768,1800,1800-1809,No,No,N/A,"Sokolow, M. (1998). ""New Guinea at One End, and a View of the Alms-House at the Other"": The Decline of Black Salem, 1850-1920. The New England Quarterly, 71(2)., 204-228.",http://www.salemhistorical.org/salems-african-american-history,
Swedesboro,New Jersey,US-NJ,39.743967,-75.3195633,1804,1800-1809,Unsure,No,N/A,"Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4",https://blacktowns.org/info/map.html,
Morris Beach,New Jersey,US-NJ,39.3113195,-74.6532734,1938,1930-1939,Unsure,No,N/A,https://blacktowns.org/info/map.html,https://pressofatlanticcity.com/news/top_three/egg-harbor-townships-morris-beach-community-gave-black-professionals-a-resort-to-call-their-own/article_382ce666-5a7f-11e1-83f1-0019bb2963f4.html,
Port Republic,New Jersey,US-NJ,39.5287919,-74.5149652,1850s-1870s,1870-1879,Unsure,No,N/A,https://blacktowns.org/info/map.html,https://pressofatlanticcity.com/news/breaking/port-republic-civil-war-veterans-graves-remnants-of-black-settlement-should-not-be-forgotten-local/article_e94fedd6-8ce7-11e1-aaf3-0019bb2963f4.html,
Newtonville,New Jersey,US-NJ,39.5647636,-74.8773428,1950s,1950-1959,Unsure,No,N/A,https://blacktowns.org/info/map.html,,
Elsmere,New Jersey,US-NJ,39.6979506,-75.1463402,1804,1800-1809,Unsure,No,N/A,"Tuker, R. P. (2019). The History of Elsmere: African American Life in Glassboro, New Jersey. ",https://blacktowns.org/info/map.html,
Chesilhurst,New Jersey,US-NJ,39.7314731,-74.8860261,1856,1850-1859,Unsure,No,N/A,"Tucker, R. P. ""The History of Elsmere: African American Life in Glassboro, NJ.""",https://blacktowns.org/info/map.html,https://philadelphiaencyclopedia.org/archive/camden-county-new-jersey/
Snowhill (Lawnside),New Jersey,US-NJ,39.866479,-75.028344,1797,1790-1799,Yes,Yes,N/A,"Vogel, C., & Calarco, T. (2011). Places of the Underground Railroad: A Geographical Guide. Greenwood Publishing Group.;  Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4","Siegel, M., D., M., & Mappen, M. (1999). The Encyclopedia of New Jersey. (M. N. Lurie & M. Lurie, Eds.). St. Clair Shores, MI: Somerset Publishers.",https://philadelphiaencyclopedia.org/archive/lawnside-new-jersey/; some photos at: https://blacktowns.org/camden/lawnside/index.htm
Marshalltown,New Jersey,US-NJ,39.637769,-75.453217,1834,1830-1839,No,No,N/A,"Vogel, C., & Calarco, T. (2011). Places of the Underground Railroad: A Geographical Guide. Greenwood Publishing Group.",https://history.delaware.gov/2013/07/18/free-black-communities-of-the-19th-century/;  https://www.nps.gov/nr/feature/places/pdfs/13000498.pdf,https://app.box.com/s/u9gczmpcd88i52ti6bpg
Othello,New Jersey,US-NJ,39.415311,-75.349716,1804,1800-1809,Unsure,No,N/A,"Vogel, C., & Calarco, T. (2011). Places of the Underground Railroad: A Geographical Guide. Greenwood Publishing Group.",,
Springtown,New Jersey,US-NJ,39.414167,-75.331667,1804,1800-1809,Unsure,No,N/A,"Wright, G. R. (1988). African Americans in New Jersey: A short history. https://nj.gov/state/historical/assets/pdf/topical/afro-americans-in-nj-short-history.pdf; Barton, Christopher P. (2009) ""Antebellum African-American Settlements in Southern New Jersey,"" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4","Siegel, M., D., M., & Mappen, M. (1999). The Encyclopedia of New Jersey. (M. N. Lurie & M. Lurie, Eds.). St. Clair Shores, MI: Somerset Publishers.",https://blacktowns.org/cumberland/springtown/
Whitesboro,New Jersey,US-NJ,39.0422206,-74.8852295,1902,1900-1909,Yes,No,N/A,"https://www.blackpast.org/african-american-history/whitesboro-new-jersey-1902/#:~:text=Whitesboro%2C%20New%20Jersey%20was%20established,Association%2C%20founded%20by%20Reverend%20J.W.",,
Blackdom,New Mexico,US-NM,33.158101,-104.526019,1908,1900-1909,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Binkovitz, L. (2013, February 4). Welcome to Blackdom: The Ghost Town That Was New Mexico's First Black Settlement. https://www.smithsonianmag.com/smithsonian-institution/welcome-to-blackdom-the-ghost-town-that-was-new-mexicos-first-black-settlement-10750177/"
Dora,New Mexico,US-NM,33.931389,-103.3375,N/A,1900-1909,No,No,N/A,"Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Nelson, T. E. (2015). The significance of the Afro-Frontier in American History Blackdom, Barrartry, and Bawdyhouses in the borderlands 1900-1930. (Embargoed dissertation at UTEP). https://scholarworks.utep.edu/open_etd/1110/",
Las Cruces,New Mexico,US-NM,32.343936,-106.9514665,N/A,1900-1909,Unsure,No,N/A,https://fnsnews.nmsu.edu/blacks-in-a-border-county/,https://www.nmhistorymuseum.org/blog/2011/05/new-mexicos-african-american-story/,
Vado,New Mexico,US-NM,32.12905,-106.65784,N/A,1900-1909,No,No,N/A,"Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",Blacks in a Border County. (2011). https://fnsnews.nmsu.edu/blacks-in-a-border-county/,
Guinea Town (New Guinea),New York,US-NY,41.7882415,-73.924561,1790,1790-1799,No,No,N/A,"Linder & Johnson. (2015). ""Guineatown in the Hudson Valley’s Hyde Park""'. In, The Archaeology of Race in the Northeast; Barton, Christopher P. (2009) """"Antebellum African-American Settlements in Southern New Jersey,"""" African Diaspora Archaeology Newsletter: Vol. 12 : Iss. 4 , Article 4.
Available at: https://scholarworks.umass.edu/adan/vol12/iss4/4""",https://hydeparkhistorian.tumblr.com/post/174420502211/slaves-in-hyde-park,
"Eastville, Sag Harbor",New York,US-NY,40.996603,-72.29219,1839,1830-1839,Yes,No,N/A,Eastville Community Historical Society. Eastville Historical Society: Sag Harbor: African American History.,,
Five Points District,New York,US-NY,40.705557,-74.007963,1810,1810-1819,No,No,N/A,"Milne, C. (2002). On the Grounds of the Fresh Water Pond: The Free-Black Community at Five Points, 1810—1834. International Journal of Historical Archaeology, 6(2), 127-142. Retrieved May 20, 2021, from http://www.jstor.org/stable/20852995
 Burrows, E. G., & Wallace, M. (1999). Gotham: a history of New York City to 1898. New York ; Oxford: Oxford university press. Milne, C. (2002). On the Grounds of the Fresh Water Pond: The Free-Black Community at Five Points, 1810—1834. International Journal of Historical Archaeology, 6(2), 127-142. Retrieved May 20, 2021, from http://www.jstor.org/stable/20852995
","Sanders, B. (2017, January 12). History's Lost Black Towns. The Root.",https://www.blackpast.org/african-american-history/five-points-district-new-york-city-1830s-1860s/
Sandy Ground,New York,US-NY,40.540998,-74.216519,1828,1820-1829,No,No,N/A,"Burrows, E. G., & Wallace, M. (1999). Gotham: a history of New York City to 1898. New York ; Oxford: Oxford university press.",https://libguides.nypl.org/nyc_early_africanamerican_settlements/sandy_ground,
York Hill,New York,US-NY,40.7855031,-73.9664505,1827,1820-1829,No,No,N/A,"Wall, D. Z., Rothschild, N. A., & Copeland, C. (2008). Seneca Village and Little Africa: Two African Communities in Antebellum New York City. Historical Archaeology, 42(1), 97-107.",https://www.nyhistory.org/seneca/croton.html,https://hiddenwatersblog.wordpress.com/2016/10/28/lowerwall/
Seneca Village,New York,US-NY,40.78407,-73.968941,1825,1820-1829,No,No,N/A,"Wall, D. Z., Rothschild, N. A., & Copeland, C. (2008). Seneca Village and Little Africa: Two African Communities in Antebellum New York City. Historical Archaeology, 42(1), 97-107.  Burrows, E. G., & Wallace, M. (1999). Gotham: a history of New York City to 1898. New York ; Oxford: Oxford university press.","Martin, D. (1995, April 7). Before Park, Black Village; Students Look Into a Community's History. link. ","Central Park Conservancy. (2020 Sep). Seneca Village: Selected Research Topics. link.; Sanders, B. (2017, January 12). History's Lost Black Towns. The Root. link."
Weeksville,New York,US-NY,40.673976,-73.925143,1837,1830-1839,No,No,N/A,"Burrows, E. G., & Wallace, M. (1999). Gotham: a history of New York City to 1898. New York ; Oxford: Oxford university press.","Sanders, B. (2017, January 12). History's Lost Black Towns. The Root.","https://www.6sqft.com/the-history-of-weeksville-when-crown-heights-had-the-second-largest-free-black-community-in-the-u-s/ Kenney, T. (2019, February 16). 10 Thriving Black Towns You Didn't Learn About in History Class. Atlanta Black Star."
Beech Bottom,North Carolina,US-NC,36.072081,-82.009017,1870,1870-1879,Yes,No,N/A,"HARRIS, JEFFERY. 1994. Does Beech Bottoms still exist? Banner Elk, NC: Lees McCrae
College senior thesis. A number of papers focusing on AAVE: Christine Mallinson, & Wolfram, W. (2002). Dialect Accommodation in a Bi-Ethnic Mountain Enclave Community: More Evidence on the Development of African American English. Language in Society, 31(5), 743-775. 
",BLACK TOWNS NORTH CAROLINA,
Bethania,North Carolina,US-NC,36.1917771,-80.3282322,1875,1870-1879,Yes,No,N/A,"Heather Fearnbach, Fearnback History Services, Inc. (2012). The Bethania Freedman's Community: An Architectural and Historical Context of the Bethania-Rural Hall Road Study Area. https://files.nc.gov/ncdcr/historic-preservation-office/survey-and-national-register/surveyreports/Bethania-RuralHallRd-2012.pdf",,
Hayti,North Carolina,US-NC,35.98053,-78.895902,1868,1860-1869,Yes,No,N/A,https://www.ibiblio.org/hayti/background.html; BLACK TOWNS NORTH CAROLINA; https://www.bullcity150.org/uneven_ground/dismantling_hayti/,https://hayti.org/,
James City,North Carolina,US-NC,35.088618,-77.034941,1862,1860-1869,Yes,No,N/A,"https://blogs.lib.unc.edu/ncm/2019/07/24/james-city-north-carolina/#:~:text=This%20settlement%20was%20named%20James,on%20from%20its%20former%20owners.; BLACK TOWNS NORTH CAROLINA",,
Freedmen of Roanoke Island (Little California),North Carolina,US-NC,35.889735,-75.661505,1863,1860-1869,No,No,N/A,"Click, P. C. (2001). Time Full of Trial: The Roanoke Island Freedmen’s Colony 1862-1867. UC Press.",BLACK TOWNS NORTH CAROLINA,https://ncseagrant.ncsu.edu/coastwatch/previous-issues/2005-2/holiday-2005/the-freedmen-of-roanoke-island-the-other-lost-colony/
Navassa (Bluff Hill),North Carolina,US-NC,34.255516,-78.007479,1867,1860-1869,Yes,Yes,1977,https://coastalreview.org/2014/10/african-roots-brunswick-county/,"https://coastalreview.org/2020/03/navassa-history-misunderstood-town-planner/; Chaitra. (2019, February 27). Getting to know Navassa, a historically Black community in Brunswick County, North Carolina.",https://www.ncpedia.org/listening-to-history/alston
Princeville (Freedom Hill),North Carolina,US-NC,35.88934,-77.532037,1865,1860-1869,Yes,Yes,1885,"Phillips, B., Stukes, P. A., & Jenkins, P. (2012). Freedom Hill is not for sale—and neither is the lower ninth ward. Journal of Black Studies, 43(4), 405-426.; Mobley, J. A. (1986). In the shadow of white society: Princeville, a black town in North Carolina, 1865-1915. The North Carolina Historical Review, 63(3), 340-384.",BLACK TOWNS NORTH CAROLINA,
Sedalia,North Carolina,US-NC,36.067367,-79.620588,1870,1870-1879,Yes,Yes,1997,BLACK TOWNS NORTH CAROLINA,,http://www.sedalianc.org/about-us.html; https://historicsites.nc.gov/all-sites/charlotte-hawkins-brown-museum/history
Soul City,North Carolina,US-NC,36.4084783,-78.2790276,1969,1960-1969,No,No,N/A,"Strain, C. (2004). Soul City, North Carolina: black power, utopia, and the African American dream. The Journal of African American History, 89(1), 57-74.; Minchin, T. J. (2005). "" A Brand New Shining City"": Floyd B. McKissick Sr. and the Struggle to Build Soul City, North Carolina. The North Carolina Historical Review, 82(2), 125-155.; Biles, R. (2005). The rise and fall of Soul City: Planning, politics, and race in recent America. Journal of Planning History, 4(1), 52-72.",https://americanarchive.org/catalog/cpb-aacip-62-dz02z1335r,
Midway,North Carolina,US-NC,35.1756945,-79.3935518,1803,1800-1809,Yes,No,N/A,"""Moss, A. J., & Christman, C. J. (2005). Segregation in the Modern South:
A Case Study of Southern Moore County. Cedar Grove Institute for Sustainable Communities. https://www.cedargroveinst.org/files/Southern%20Moore%20County%20Case%20Study.pdf """,Midway Community Association - http://www.findglocal.com/US/Aberdeen/148420931906260/Midway-Community-Association%2C-Inc,https://www.thepilot.com/news/midway-habitat-work-together-to-improve-community/article_cd93a412-4cae-5cf3-8089-6ea301422980.html
Monroetown (Monroe Town),North Carolina,US-NC,35.2187671,-79.4537855,1803,1800-1809,Yes,No,N/A,"Parnell, A. M., Joyner, A. M., Christman, C. J., & Marsh, D. P. (2004). The persistence of political segregation: Racial underbounding in North Carolina. Mebane, NC: Cedar Grove Institute for Sustainable Communities.",Collection of N&O article exerpts about the town - http://www.cedargroveinst.org/files/charlotte-observe_6-5-05.pdf,
Lost City,North Carolina,US-NC,35.1914095,-79.4146774,1803,1800-1809,Yes,No,N/A,"Parnell, A. M., Joyner, A. M., Christman, C. J., & Marsh, D. P. (2004). The persistence of political segregation: Racial underbounding in North Carolina. Mebane, NC: Cedar Grove Institute for Sustainable Communities.","DeVane, S. (2005 April 28). Take a trip to Lost City, an island unto itself. The Fayetteville Observer. https://www.fayobserver.com/article/20150428/news/304289783",
"Taylortown (or Taylor Town, also Old Settlement)",North Carolina,US-NC,35.2147327,-79.5115401,1900s,1900-1920,Yes,Yes,1987,"Parnell, A. M., Joyner, A. M., Christman, C. J., & Marsh, D. P. (2004). The persistence of political segregation: Racial underbounding in North Carolina. Mebane, NC: Cedar Grove Institute for Sustainable Communities.",https://taylortown.org/,
Jackson Hamlet,North Carolina,US-NC,35.1668403,-79.4804552,1803,1800-1809,Yes,No,N/A,"Parnell, A. M., Joyner, A. M., Christman, C. J., & Marsh, D. P. (2004). The persistence of political segregation: Racial underbounding in North Carolina. Mebane, NC: Cedar Grove Institute for Sustainable Communities.",Collection of N&O article exerpts about the town - http://www.cedargroveinst.org/files/charlotte-observe_6-5-05.pdf,https://www.csmonitor.com/2005/0809/p03s01-ussc.html
Waynor Road,North Carolina,US-NC,35.2390775,-79.4072693,1803,1800-1809,Yes,No,N/A,"Moss, A. J., & Christman, C. J. (2005). Segregation in the Modern South:
A Case Study of Southern Moore County. Cedar Grove Institute for Sustainable Communities. https://www.cedargroveinst.org/files/Southern%20Moore%20County%20Case%20Study.pdf ",,
Pinetops,North Carolina,US-NC,35.7913469,-77.6395807,1901,1900-1909,Yes,Yes,1903,"Mungo, S. D. (2011). AN INTERGENERATIONAL ORAL HISTORY OF AFRICAN AMERICAN STUDENTS IN EDGECOMBE COUNTY, NORTH CAROLINA FROM 1930-1980 (Doctoral dissertation, The University of North Carolina at Charlotte).",,Vinedale plantation house listing with the national register of historic places - https://files.nc.gov/ncdcr/nr/ED0562.pdf
Green Level Historic District,North Carolina,US-NC,36.0488302,-79.527196,1800,1800-1809,Yes,No,N/A,"Molloy, Kelly Lally, and M. Ruth Little
2001 Green Level Historic District. National Register of Historic Places nomination. Copy on file,
North Carolina State Historic Preservation Office, Raleigh.",Green Level Historic District map by Town of Cary - https://www.townofcary.org/home/showpublisheddocument?id=15942,National Register of Historic Places # 01000340 - file not digitized
Evans Road,North Carolina,US-NC,35.8014796,-78.7962873,1930-1966,1960-1969,Unsure,No,N/A,"Williams-Vinson, Ella Arrington
1996 Both Sides of the Tracks: A Profile of the Colored Community, Cary, North Carolina. Privately
published, Cary, North Carolina.
2001 Both Sides of the Tracks II: Recollections of Cary, North Carolina, 1860–2000. Privately
published, Cary, North Carolina.","Historic Resources Survey and Inventory Update
TOWN OF CARY, NORTH CAROLINA - https://files.nc.gov/ncdcr/historic-preservation-office/survey-and-national-register/surveyreports/CarySurveyUpdate-2014.pdf",
East Spencer,North Carolina,US-NC,35.6827643,-80.444417,1900,1900-1910,Yes,No,N/A,https://exhibits.lib.unc.edu/exhibits/show/archival-seedlings/whitneypeckman,https://www.salisburypost.com/2015/01/01/dunbar-centers-history-dates-back-to-1900/,
Historic West End (Charlotte),North Carolina,US-NC,35.245338,-80.854957,1867,1860-1869,Yes,No,N/A,https://www.westendcharlotte.org/new-index,https://library.duke.edu/digitalcollections/behindtheveil_btvnc02018/,
African American West End (Watkins Street),North Carolina,US-NC,36.0922133,-80.257071,1890-1905,1890-1900,No,No,N/A,https://winstonwatchman.com/throwback-thursday-remembering-watkins-street-the-african-american-west-end-enclave-destroyed-by-the-dash/,https://journalnow.com/opinion/editorials/marker-underscores-need-to-remember-the-african-american-west-end/article_08cc6d21-d593-5a1e-b83d-d184f6349a37.html,
West End (Mebane),North Carolina,US-NC,36.0968441,-79.2878607,1860s,1860-1869,Yes,No,N/A,https://wera-nc.org/history.htm,https://scalawagmagazine.org/2016/08/a-place-called-mebane/,
White Level,North Carolina,US-NC,36.133333,-78.143056,1860s,1860-1869,Yes,No,N/A,"Parnell, A. (2004). The Persistence of Political Segregation: Racial Underbounding in North Carolina. Cedar Grove Institute for Sustainable Communities. https://www.federalreserve.gov/SECRS/2011/August/20110804/R-1387/R-1387_122005_86571_325497069781_1.pdf",,
Buckhorn/ Perry Hill,North Carolina,US-NC,36.0728111,-79.2248543,1860s,1860-1869,Yes,No,N/A,"Addressing Racial Disparities in Local Government Actions: The Mebane Case Study 1 (May 29, 2003). https://www.cedargroveinst.org/files/mebanecase.pdf",https://arts.duke.edu/news/taking-environmental-legacy-racism/,
Silver City,North Carolina,US-NC,34.9980767,-79.2323391,1860s,1860-1869,Yes,No,N/A,,,
Grand Forks / Lithia,North Dakota,US-ND,46.616115,-96.813427,1884,1880-1889,No,No,N/A,"Roper, S. A. (1994). From Military Forts to ""Nigger Town"": African Americans in North Dakota, 1890-1940. Heritage of the Great Plains, 27: 37-53.",http://legacy.soulofamerica.com/black-towns-north-dakota.phtml,"Handy-Marchello, B. (2015). Speaking of history: North Dakota studies. Fall Newsletter 2015. https://www.ndstudies.gov/sites/default/files/PDF/newsletter_fall_2015_web.pdf"
Port Royal,Nova Scotia,CA-NS,44.7420239,-65.5157415,1783,1780-1789,No,No,N/A,"Hodges, Graham Russell. The Black Loyalist Directory: African Americans in Exile after the American Revolution. New York: Garland, 1996.",https://www.encyclopedia.com/places/united-states-and-canada/canadian-political-geography/port-royal,
Carthagena,Ohio,US-OH,40.4387337,-84.5652062,1835,1830-1839,No,No,N/A,https://hamiltonavenueroadtofreedom.org/?p=2360,https://www.hmdb.org/m.asp?m=110110,
Augusta,Ohio,US-OH,40.685833,-81.020833,1787,1780-1789,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",African Americans in Augusta. NPS. https://www.nps.gov/nr/travel/augusta/africanamericanaugusta.html,
Berlin Crossroads,Ohio,US-OH,39.080817,-82.5382,1829,1820-1829,No,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.","Ohio History Central. Berlin Crossroads, Ohio.","Woodson, B. W. (2001). A president in the family: Thomas Jefferson, Sally Hemings, and Thomas Woodson. Westport, CT: Praeger."
Black Fort,Ohio,US-OH,39.96975,-84.7077,1818,1810-1819,No,No,N/A,"Howe, H. (1902). Historical Collections of Ohio in Two Volumes. Vol. II. Cincinnati, OH: C.J. Krehbiel & Co., Printers and Binders.","Roseboom, E. H. (1944). The Civil War Era: 1850-1873. Columbus: Ohio State Archaeological and Historical Society.","Wibur H. Siebert Collection. The Ohio History Connection. Columbus, OH."
Fitchville,Ohio,US-OH,41.094936,-82.488675,1830s-1840s,1830-1849,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",https://www.dot.state.oh.us/maps/Documents/RTLFT_brochure_web.pdf,https://ohiomemory.org/digital/collection/siebert/id/7242/
Gallipolis,Ohio,US-OH,38.815278,-82.1975,1818,1810-1819,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",https://www.johngeeblackhistory.com/,
Gist Settlements,Ohio,US-OH,39.316095,-83.647187,1818,1810-1819,No,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.","Ohio History Central. Gist Settlements.; Powell, C., Kavanaugh, B., & Christy, D. (1916). Transplanting Free Negroes to Ohio from 1815 to 1858. The Journal of Negro History, 1(3), 302-317. doi:10.2307/3035625","Abdy, E. S. (1835). Journal of a residence and tour in the United States of North America, from April, 1833, to October, 1834. London: J. Murray."
Guinea (Captina),Ohio,US-OH,39.9445352,-81.1420839,1820s,1820-1829,No,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",https://www.visitbelmontcounty.com/post/black-history-in-belmont-county,https://www.barnesville-enterprise.com/news/20170222/captina-african-methodist-episcopal-church-cemetery-restoration-remembered-during-black-history
